"""H.R.G.""",1018958
. :Waterhouse collection,6000038
/G [?],6000039
[ Dr.B.L. Middleton ],6004885
[T. Campbell],6004888
A B Rose,2000338
A Barnes,6000097
A Cotton,1025420
A Dyce & W Wirth,6000048
A Floyd & AB Rese,6000050
A Gould,5000131
A Hainsworth,5000141
A Hurst,1025607
A M Lea,5000529
A Musgrave Gp Whitlam,5000236
A Osborne,5000253
A R Mcculloch,2000626
A R Tremain & J E Clafley,6000067
A R. Brimblecombe,1025186
A Scanlon,1019693
A Smith,5000302
A Sundholm & J Bugaji,6000073
A Wells & Webber,6000075
A York,5000383
A. & D. Daniels,6000078
A. & F. Just,6000079
A. & G. Daniels,6000081
A. & G. Daniels & D.K. McAlpine,6000082
A. & G. Daniels :G. Daniels collections,6000083
A. & G. Jones,6000084
A. & G. Sundholm,6000085
"A. & M. Walford-Higgins, M.S. & B.J. Moulds",6000086
A. & M. Walford-Huggins,6000087
A. A. Calder,6000106
A. A. Cameron,6000089
A. A. Girault,6000297
A. A. Livingstone,6000147
A. A. Skuse,6000042
A. Aitkins,6000091
A. Amos,6000468
A. Asquith,1007166
A. Asquith & G. Cassis,6000092
A. Atkins,1011544
A. B. Bell,6000298
A. B. Pope,6000300
A. B. Rose,6000301
A. Bailey,6000096
A. Barnes,6000097
A. Beveridge,6000044
A. Bianchi,1006539
A. Bird,6000098
A. Bishop,6000088
A. Blombery,6000100
A. Brimblecomb,6000101
A. Brimblecombe,6000102
A. Brindlecombe,6000103
A. Burns,6000045
A. Burns; Waterhouse Collection,6000105
A. C. Eyles,1018262
A. C. Schellen,6000307
A. C. Wellick,6000046
A. Calder & T. Weir,6000107
A. Campbell,1020822
A. Chisholm,6000108
A. Clark,6000109
A. Cole,6000110
A. Commins,1014264
A. Cotton,1025420
A. Cottrell,6000111
A. Cribbs,6000112
A. Cunningham,6000113
A. D. Austin,1015090
A. D. Bishop,6000114
A. Daniels,6000115
A. d'Apice,1016473
A. Davis,1004032
A. Day,1008064
A. Do,1005733
A. Donnelly,5008652
A. Dyce,6000047
A. E. Church,1025384
A. E. Jobson,6000313
A. E. Shaw,6000314
A. Evans,1015010
A. F. D' Ombrain,6000315
A. F. Emeljanov,1007211
A. F. Grant,6000317
A. F. Hull,6000320
A. Faragher,6000118
A. Fidler,6000119
A. Foster,1022657
A. G. Edquist,6000323
A. G. Hamilton,6000324
A. G. Nicholls,6000330
A. G. Smithers,6000331
A. G. Taylor,6000332
A. Gaskett,1020077
A. Gemmall,6000121
A. Gemmell,6000122
A. Gilkes,6000123
A. Glaister,10071505
A. Glassop,1002789
A. Gleas,1016238
A. Glover,1021465
A. Goede,5000403
A. Goerling,6000125
A. Gould,5000131
A. Green,6000052
A. Griffiths,6000127
A. Grundy,6000128
A. H. Ahrens,6000129
A. H. C. Zietz,6000340
A. H. Elston,6000130
A. H. Hardy,6000053
A. H. Henry,6000337
A. H. Murray,6000338
A. H. Rine,6000339
A. Hainsworth,5000141
A. Hay,1014046
